_id,type,model
ObjectId(672afebebc20a3e321357984),smart phone,platina
ObjectId(672afebebc20a3e321357985),smart phone,k9
ObjectId(672afebebc20a3e321357986),smart phone,pk2
ObjectId(672afebebc20a3e321357987),smart phone,cz
ObjectId(672afebebc20a3e321357988),smart phone,xm23
ObjectId(672afebebc20a3e321357989),smart phone,c12
ObjectId(672afebebc20a3e32135798a),smart phone,k9
ObjectId(672afebebc20a3e32135798b),smart phone,bn20
ObjectId(672afebebc20a3e32135798c),smart phone,xm23
ObjectId(672afebebc20a3e32135798d),smart phone,pk2
ObjectId(672afebebc20a3e32135798e),smart phone,platina
ObjectId(672afebebc20a3e32135798f),smart phone,c12
ObjectId(672afebebc20a3e321357990),smart phone,platina
ObjectId(672afebebc20a3e321357991),smart phone,pk2
ObjectId(672afebebc20a3e321357992),smart phone,k9
ObjectId(672afebebc20a3e321357993),smart phone,c12
ObjectId(672afebebc20a3e321357994),smart phone,c3
ObjectId(672afebebc20a3e321357995),smart phone,cz
ObjectId(672afebebc20a3e321357996),smart phone,cz
ObjectId(672afebebc20a3e321357997),smart phone,xm23
ObjectId(672afebebc20a3e321357998),laptop,c6
ObjectId(672afebebc20a3e321357999),laptop,qw2
ObjectId(672afebebc20a3e32135799a),laptop,qw2
ObjectId(672afebebc20a3e32135799b),smart phone,c3
ObjectId(672afebebc20a3e32135799c),smart phone,bn20
ObjectId(672afebebc20a3e32135799d),laptop,ay9
ObjectId(672afebebc20a3e32135799e),laptop,zeta
ObjectId(672afebebc20a3e32135799f),laptop,zeta
ObjectId(672afebebc20a3e3213579a0),smart phone,c3
ObjectId(672afebebc20a3e3213579a1),laptop,zeta
ObjectId(672afebebc20a3e3213579a2),laptop,qw2
ObjectId(672afebebc20a3e3213579a3),laptop,k12
ObjectId(672afebebc20a3e3213579a4),laptop,jl3
ObjectId(672afebebc20a3e3213579a5),laptop,j3
ObjectId(672afebebc20a3e3213579a6),laptop,jl3
ObjectId(672afebebc20a3e3213579a7),laptop,ki2
ObjectId(672afebebc20a3e3213579a8),laptop,ay9
ObjectId(672afebebc20a3e3213579a9),laptop,kz
ObjectId(672afebebc20a3e3213579aa),laptop,ki2
ObjectId(672afebebc20a3e3213579ab),laptop,ki2
ObjectId(672afebebc20a3e3213579ac),laptop,ki2
ObjectId(672afebebc20a3e3213579ad),laptop,k12
ObjectId(672afebebc20a3e3213579ae),laptop,ay9
ObjectId(672afebebc20a3e3213579af),laptop,ki2
ObjectId(672afebebc20a3e3213579b0),laptop,qw2
ObjectId(672afebebc20a3e3213579b1),laptop,qw2
ObjectId(672afebebc20a3e3213579b2),laptop,j3
ObjectId(672afebebc20a3e3213579b3),laptop,jl3
ObjectId(672afebebc20a3e3213579b4),laptop,c6
ObjectId(672afebebc20a3e3213579b5),laptop,c6
ObjectId(672afebebc20a3e3213579b6),laptop,jl3
ObjectId(672afebebc20a3e3213579b7),smart phone,bn20
ObjectId(672afebebc20a3e3213579b8),laptop,kz
ObjectId(672afebebc20a3e3213579b9),laptop,c6
ObjectId(672afebebc20a3e3213579ba),laptop,k12
ObjectId(672afebebc20a3e3213579bb),laptop,qw2
ObjectId(672afebebc20a3e3213579bc),laptop,k12
ObjectId(672afebebc20a3e3213579bd),laptop,k12
ObjectId(672afebebc20a3e3213579be),laptop,k12
ObjectId(672afebebc20a3e3213579bf),laptop,qw2
ObjectId(672afebebc20a3e3213579c0),laptop,k12
ObjectId(672afebebc20a3e3213579c1),laptop,ay9
ObjectId(672afebebc20a3e3213579c2),laptop,zeta
ObjectId(672afebebc20a3e3213579c3),laptop,j3
ObjectId(672afebebc20a3e3213579c4),laptop,kz
ObjectId(672afebebc20a3e3213579c5),laptop,k12
ObjectId(672afebebc20a3e3213579c6),laptop,ay9
ObjectId(672afebebc20a3e3213579c7),laptop,k12
ObjectId(672afebebc20a3e3213579c8),laptop,qw2
ObjectId(672afebebc20a3e3213579c9),laptop,jl3
ObjectId(672afebebc20a3e3213579ca),laptop,zeta
ObjectId(672afebebc20a3e3213579cb),laptop,ay9
ObjectId(672afebebc20a3e3213579cc),laptop,k12
ObjectId(672afebebc20a3e3213579cd),laptop,j3
ObjectId(672afebebc20a3e3213579ce),laptop,jl3
ObjectId(672afebebc20a3e3213579cf),laptop,ki2
ObjectId(672afebebc20a3e3213579d0),laptop,ay9
ObjectId(672afebebc20a3e3213579d1),laptop,qw2
ObjectId(672afebebc20a3e3213579d2),laptop,qw2
ObjectId(672afebebc20a3e3213579d3),laptop,zeta
ObjectId(672afebebc20a3e3213579d4),laptop,jl3
ObjectId(672afebebc20a3e3213579d5),laptop,ki2
ObjectId(672afebebc20a3e3213579d6),laptop,j3
ObjectId(672afebebc20a3e3213579d7),laptop,kz
